player_id,player_name,team,league,position,minutes,goals,assists,rating,appearances,lineups,shots_total,shots_on,passes_total,passes_key,passes_accuracy,yellow_cards,red_cards,duels_total,duels_won,tackles_total,goals_p90,assists_p90,goal_contributions,goal_contributions_p90,key_passes_p90,tackles_p90,interceptions_p90,duel_win_rate,discipline_penalty,league_weight,position_group,minutes_norm,rating_norm,league_weight_norm,goals_p90_norm,assists_p90_norm,goal_contributions_p90_norm,key_passes_p90_norm,tackles_p90_norm,interceptions_p90_norm,duel_win_rate_norm,base_score,minutes_bonus,low_minutes_penalty,discipline_penalty_norm,score_final,squad_position,squad_role
19,Matheus Cunha,Manchester United,Premier League,Attacker,2503,10,2,7.29,31,29,63,29,980,42,81,7,0,260,125,25,0.35956851777866555,0.07191370355573312,12,0.4314822213343987,1.5101877746703953,0.8989212944466639,0.0,0.4807692307692308,3.5,1.0,ATT,0.7244816586921851,0.6335877862595423,1.0,0.4265650450228956,0.1394897551509617,0.41590091889732317,0.371322155349065,0.28150430010303423,0.0,0.702247191011236,0.5843940319207156,0.05,0.0,0.1,53.4,AM_SS,XI
5,Gabriel Magalhães,Arsenal,Premier League,Defender,2706,3,4,7.35,31,30,26,9,1800,15,88,3,0,260,178,42,0.09977827050997783,0.13303769401330376,7,0.2328159645232816,0.4988913525498892,1.3968957871396896,0.0,0.6846153846153846,1.5,1.0,DEF,0.8054226475279107,0.6793893129770998,1.0,0.1183694354426062,0.25805089219723365,0.2244087213599409,0.12266647593162151,0.43744894386742916,0.0,1.0,0.5866352422848985,0.05,0.0,0.1,53.7,CB,XI
6,Bremer,Juventus,Serie A,Defender,2175,4,3,7.31,26,25,22,7,1400,8,86,5,0,240,161,44,0.16551724137931034,0.12413793103448274,7,0.2896551724137931,0.3310344827586207,1.8206896551724137,0.0,0.6708333333333333,2.5,0.92,DEF,0.5937001594896332,0.6488549618320612,0.7333333333333334,0.19635720601237847,0.24078817733990146,0.2791954022988506,0.081394141638858,0.5701633393829402,0.0,0.9798689138576778,0.5145395284042302,0.05,0.0,0.1,46.5,CB,XI
11,Bruno Guimarães,Newcastle,Premier League,Midfielder,2389,9,5,7.57,29,28,36,14,1700,44,86,7,0,310,184,71,0.3390539974884889,0.18836333193804938,14,0.5274173294265383,1.6575973210548347,2.6747593135203016,0.0,0.5935483870967742,3.5,1.0,MID,0.6790271132376395,0.8473282442748102,1.0,0.40222816112309634,0.36536506607666086,0.508371703641691,0.40756693987226406,0.8376219955497788,0.0,0.8669807901413555,0.6993947600980157,0.05,0.0,0.1,64.9,DM_CM,XI
12,Casemiro,Manchester United,Premier League,Midfielder,2588,9,2,7.32,31,30,30,9,1500,19,82,8,0,360,218,87,0.31298299845440497,0.0695517774343122,11,0.38253477588871715,0.6607418856259659,3.025502318392581,0.0,0.6055555555555555,4.0,1.0,MID,0.7583732057416268,0.6564885496183219,1.0,0.37129948876471297,0.13490836829322145,0.3687210200927357,0.16246198334745973,0.9474599365492558,0.0,0.8845193508114856,0.6434986636161459,0.05,0.0,0.1,59.3,DM_CM,XI
1,Alisson,Liverpool,Premier League,Goalkeeper,2250,0,0,6.84,25,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,GK,0.6236044657097288,0.2900763358778633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327361603175184,0.05,0.0,0.0,38.3,GK,XI
7,Douglas Santos,Zenit,Premier League Russia,Defender,1920,1,0,7.27,24,22,14,4,1300,20,87,2,0,190,114,38,0.046875,0.0,1,0.046875,0.9375,1.78125,0.0,0.6,1.0,0.7,DEF,0.4920255183413078,0.6183206106870234,0.0,0.05560897435897437,0.0,0.045182291666666666,0.23051075268817206,0.5578125,0.0,0.8764044943820225,0.3514991195435846,0.05,0.0,0.1,30.1,LB,XI
17,Vini Jr,Real Madrid,LaLiga,Attacker,2825,16,5,7.65,34,33,72,41,1150,58,80,6,0,292,130,20,0.5097345132743363,0.1592920353982301,21,0.6690265486725664,1.847787610619469,0.6371681415929203,0.0,0.4452054794520548,3.0,0.95,ATT,0.8528708133971292,0.9083969465648867,0.833333333333333,0.6047106875425461,0.30897597977243996,0.6448672566371682,0.45433057379389097,0.19953423381462507,0.0,0.6503001385254733,0.6718851281751036,0.05,0.0,0.1,62.2,LW,XI
4,Wesley,Roma,Serie A,Defender,2457,5,0,7.16,30,28,28,10,900,22,82,4,0,210,122,61,0.18315018315018314,0.0,5,0.18315018315018314,0.8058608058608059,2.2344322344322345,0.0,0.580952380952381,2.0,0.92,DEF,0.706140350877193,0.534351145038169,0.7333333333333334,0.21727560189098652,0.0,0.17653642653642654,0.19814355298226266,0.6997300944669367,0.0,0.848582129481006,0.5167952343825066,0.05,0.0,0.1,46.7,RB,XI
16,Raphinha,Barcelona,LaLiga,Attacker,1388,13,3,7.77,23,17,55,30,690,41,78,4,0,151,71,19,0.8429394812680114,0.19452449567723346,16,1.037463976945245,2.65850144092219,1.2319884726224783,0.0,0.47019867549668876,2.0,0.95,ATT,0.27990430622009566,1.0000000000000009,0.833333333333333,1.0,0.3773157678056814,1.0,0.6536673793808683,0.385806916426513,0.0,0.686807054096287,0.6692686435295717,0.0,0.0,0.1,56.9,RW,XI
